Times (us),interval (us),strain (raw),sensorValue0 (raw)
11117212,12500,2762586,518
11129712,12500,2762611,518
11142216,12504,2762588,519
11154716,12500,2762535,519
11167220,12504,2762631,520
11179720,12500,2762491,523
11192220,12500,2762342,523
11204724,12504,2762573,522
11217224,12500,2762772,522
11229724,12500,2762680,522
11242224,12500,2762379,522
11254724,12500,2762321,522
11267224,12500,2762616,522
11279728,12504,2762403,521
11292228,12500,2762268,522
11304732,12504,2762565,522
11317232,12500,2762523,522
11329732,12500,2762340,522
11342236,12504,2762496,522
11354736,12500,2762286,522
11367236,12500,2762336,522
11379740,12504,2762423,522
11392244,12504,2762439,522
11404744,12500,2762376,522
11417244,12500,2762400,522
11429744,12500,2762471,522
11442244,12500,2762508,522
11454744,12500,2762412,522
11467244,12500,2762380,522
11479748,12504,2762738,522
11492248,12500,2762624,521
11504748,12500,2762353,522
11517248,12500,2762432,522
11529748,12500,2762775,522
11542252,12504,2762960,522
11554752,12500,2762655,521
11567252,12500,2762275,522
11579752,12500,2762453,521
11592252,12500,2762821,521
11604752,12500,2762581,521
11617252,12500,2762239,521
11629756,12504,2762205,522
11642256,12500,2762445,521
11654760,12504,2762613,522
11667264,12504,2762558,519
11679764,12500,2762422,518
11692264,12500,2762398,517
11704764,12500,2762574,517
11717268,12504,2762807,517
11729768,12500,2762496,517
11742268,12500,2762513,517
11754772,12504,2762788,517
11767272,12500,2762886,517
11779772,12500,2762564,517
11792272,12500,2762443,517
11804772,12500,2762580,517
11817276,12504,2762797,517
11829780,12504,2762673,517
11842280,12500,2762682,517
11854780,12500,2762748,517
11867284,12504,2762793,517
11879784,12500,2762492,517
11892288,12504,2762335,517
11904788,12500,2762675,517
11917288,12500,2762796,517
11929788,12500,2762857,517
11942288,12500,2762519,517
11954792,12504,2762631,517
11967292,12500,2762763,517
11979792,12500,2762709,517
11992292,12500,2762618,517
12004792,12500,2762639,517
12017296,12504,2762910,517
12029796,12500,2763096,517
12042296,12500,2762669,517
12054800,12504,2762412,517
12067300,12500,2762714,516
12079800,12500,2762941,516
12092300,12500,2762706,516
12104800,12500,2762488,516
12117300,12500,2762584,516
12129800,12500,2762947,516
12142300,12500,2762985,516
12154800,12500,2762632,516
12167300,12500,2762704,516
12179800,12500,2762885,516
12192300,12500,2762837,516
12204800,12500,2762500,516
12217304,12504,2762465,517
12229804,12500,2762803,517
12242308,12504,2762878,517
12254812,12504,2762573,517
12267316,12504,2762554,517
12279816,12500,2762698,517
12292316,12500,2762824,517
12304816,12500,2762827,517
12317316,12500,2762810,517
12329816,12500,2762742,517
12342316,12500,2762676,517
12354820,12504,2762794,516
12367324,12504,2762820,516
12379828,12504,2762699,516
12392328,12500,2762524,517
12404828,12500,2762611,517
12417328,12500,2762750,517
12429832,12504,2762830,517
12442336,12504,2762680,517
12454836,12500,2762682,517
12467336,12500,2762655,517
12479836,12500,2762779,517
12492340,12504,2762743,517
12504840,12500,2762543,517
12517340,12500,2762547,517
12529840,12500,2762769,517
12542340,12500,2763047,517
12554844,12504,2762771,517
12567344,12500,2762324,517
12579844,12500,2762342,517
12592344,12500,2762847,517
12604848,12504,2762626,517
12617348,12500,2762500,517
12629852,12504,2762710,517
12642352,12500,2763078,517
12654856,12504,2763074,517
12667356,12500,2762510,517
12679856,12500,2762390,518
12692356,12500,2762663,518
12704856,12500,2762733,517
12717356,12500,2762448,517
12729860,12504,2762483,517
12742360,12500,2762688,517
12754860,12500,2762817,517
12767360,12500,2762660,517
12779860,12500,2762401,517
12792360,12500,2762161,518
12804860,12500,2762336,518
12817364,12504,2762694,518
12829864,12500,2762387,518
12842364,12500,2762435,518
12854864,12500,2762603,518
12867368,12504,2762648,518
12879868,12500,2762612,518
12892372,12504,2762488,518
12904872,12500,2762514,518
12917376,12504,2762622,518
12929876,12500,2762543,518
12942376,12500,2762547,518
12954876,12500,2762427,519
12967376,12500,2762409,518
12979876,12500,2762599,518
12992376,12500,2762706,518
13004880,12504,2762637,518
13017380,12500,2762328,518
13029880,12500,2762294,518
13042380,12500,2762524,518
13054884,12504,2762454,518
13067384,12500,2762445,518
13079884,12500,2762503,518
13092388,12504,2762750,518
13104892,12504,2762790,518
13117392,12500,2762761,518
13129892,12500,2762498,518
13142392,12500,2762358,518
13154892,12500,2762510,518
13167392,12500,2762485,518
13179892,12500,2762454,518
13192392,12500,2762587,518
13204896,12504,2762684,518
13217396,12500,2762839,518
13229896,12500,2762517,518
13242396,12500,2762413,518
13254896,12500,2762661,518
13267396,12500,2762776,518
13279896,12500,2762408,518
13292396,12500,2762264,517
13304896,12500,2762588,518
13317400,12504,2762841,517
13329900,12500,2762646,517
13342400,12500,2762475,517
13354900,12500,2762550,517
13367400,12500,2762606,517
13379904,12504,2762523,517
13392408,12504,2762417,516
